feature,group,source,window,dtype,description,missing_count_train,missing_ratio_train,constant_in_train,in_behavior_core_linear,in_behavior_core,in_behavior_plus_context,in_demographic_experiment
unique_products_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
unique_departments_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
customer_spend_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
discounted_line_rate_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_line_rate_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
baskets_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
active_days_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
active_weeks_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
avg_basket_value_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
discounted_basket_rate_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_basket_rate_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
unique_products_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
unique_departments_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
spend_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
basket_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
active_week_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
product_diversity_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
department_diversity_change_8w_ratio,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
avg_basket_value_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
discounted_line_rate_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_line_rate_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
discounted_basket_rate_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_basket_rate_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
spend_change_4w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
basket_change_4w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
recent_spend_share_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
spend_slope_12w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
basket_slope_12w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
weekly_spend_std_12w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
weekly_basket_std_12w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
weekly_spend_mean_12w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
weekly_basket_mean_12w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
weekly_spend_cv_12w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,7,0.00102880658436214,False,True,True,True,True
weekly_basket_cv_12w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,7,0.00102880658436214,False,True,True,True,True
unique_departments,product_category,transaction_data + product,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,True,True
unique_commodities,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
unique_subcommodities,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
repeat_product_rate,product_category,transaction_data + product,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,True,True
top_department_revenue_share,product_category,transaction_data + product,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,True,True
department_hhi,product_category,transaction_data + product,182-day observation window,float64,Departman gelir paylarının kareleri toplamı; kategori yoğunlaşması,0,0.0,False,False,False,True,True
top3_department_revenue_share,product_category,transaction_data + product,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
department_entropy,product_category,transaction_data + product,182-day observation window,float64,Departman gelir dağılımının normalize çeşitlilik ölçüsü,0,0.0,False,False,False,True,True
dept_revenue_share_grocery,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,GROCERY departmanının hane ürün gelirindeki payı,0,0.0,False,False,False,True,True
dept_revenue_share_drug_gm,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,DRUG GM departmanının hane ürün gelirindeki payı,0,0.0,False,False,False,True,True
dept_revenue_share_kiosk_gas,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,KIOSK GAS departmanının hane ürün gelirindeki payı,0,0.0,False,False,False,True,True
dept_revenue_share_produce,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,PRODUCE departmanının hane ürün gelirindeki payı,0,0.0,False,False,False,True,True
dept_revenue_share_meat,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,MEAT departmanının hane ürün gelirindeki payı,0,0.0,False,False,False,True,True
dept_revenue_share_meat_pckgd,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,MEAT PCKGD departmanının hane ürün gelirindeki payı,0,0.0,False,False,False,True,True
dept_revenue_share_deli,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,DELI departmanının hane ürün gelirindeki payı,0,0.0,False,False,False,True,True
dept_revenue_share_misc_sales_tran,product_category,transaction_data + product,182-day observation window,float64,MISC SALES TRAN departmanının hane ürün gelirindeki payı,0,0.0,False,False,False,True,True
private_brand_revenue_share,product_category,transaction_data + product,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,True,True
fuel_revenue_share,product_category,transaction_data + product,182-day observation window,float64,Yakıt ilişkili ürünlerin ürün gelirindeki payı,0,0.0,False,False,False,True,True
gift_ticket_revenue_share,product_category,transaction_data + product,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
other_misc_revenue_share,product_category,transaction_data + product,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
fuel_purchase_days,product_category,transaction_data + product,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
has_fuel_purchase,product_category,transaction_data + product,182-day observation window,int8,Gözlem penceresinde en az bir yakıt alışverişi göstergesi,0,0.0,False,False,False,True,True
fuel_basket_rate,product_category,transaction_data + product,182-day observation window,float64,Yakıt içeren sepetlerin geçerli sepetlerdeki payı,0,0.0,False,False,False,True,True
days_since_last_fuel_purchase,product_category,transaction_data + product,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,4010,0.5893592004703115,False,False,False,True,True
departments_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
departments_prev_8w,temporal_trend,transaction_data + basket + product time windows,previous 8 weeks,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
common_departments_8w,product_category,transaction_data + product,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
lost_departments_8w,product_category,transaction_data + product,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
new_departments_8w,product_category,transaction_data + product,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
department_diversity_change_8w,temporal_trend,transaction_data + basket + product time windows,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
has_previous_department_history,product_category,transaction_data + product,182-day observation window,int8,Önceki 8 haftada kategori geçmişi bulunma göstergesi,0,0.0,False,False,False,True,True
department_retention_rate,product_category,transaction_data + product,182-day observation window,float64,Önceki 8 hafta departmanlarının son 8 haftada korunma oranı,353,0.05188124632569077,False,False,False,True,True
department_jaccard,product_category,transaction_data + product,182-day observation window,float64,Son ve önceki 8 hafta departman kümelerinin Jaccard benzerliği,0,0.0,False,False,False,True,True
completed_campaigns_received,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot öncesinde tamamlanan atanmış kampanya sayısı,0,0.0,False,False,False,False,False
completed_campaigns_received_TypeA,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot öncesinde tamamlanan TypeA kampanya sayısı,0,0.0,False,False,False,True,True
completed_campaigns_received_TypeB,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot öncesinde tamamlanan TypeB kampanya sayısı,0,0.0,False,False,False,True,True
completed_campaigns_received_TypeC,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot öncesinde tamamlanan TypeC kampanya sayısı,0,0.0,False,False,False,True,True
active_campaigns_at_snapshot,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot gününde devam eden atanmış kampanya sayısı,0,0.0,False,False,False,True,True
campaigns_started_last_26w,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,True,True
coupon_redemption_events_obs,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Gözlem penceresindeki kupon kullanım kaydı sayısı,0,0.0,False,False,False,False,False
unique_coupons_redeemed_obs,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
campaigns_with_redemption_obs,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_redemption_events_obs_TypeA,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Gözlem penceresindeki TypeA kupon kullanım kaydı sayısı,0,0.0,False,False,False,True,True
coupon_redemption_events_obs_TypeB,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Gözlem penceresindeki TypeB kupon kullanım kaydı sayısı,0,0.0,False,False,False,True,True
coupon_redemption_events_obs_TypeC,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Gözlem penceresindeki TypeC kupon kullanım kaydı sayısı,0,0.0,False,False,False,True,True
bc_coupon_opportunities_completed,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,True,True
bc_unique_coupon_redemptions_completed,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
bc_campaigns_with_redemption_completed,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
