family,feature_set,candidate_id,parameters,fold,fit_seconds,average_precision,roc_auc,brier_score,positive_rate,top_k_rate,top_k_count,positives_captured_at_top_k,recall_at_top_k,precision_at_top_k,lift_at_top_k
random_forest,behavior_core,6,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_to_487,0.5557360999955563,0.33839281094759,0.8730511132016306,0.07867332709172872,0.06590509666080843,0.1,228,73,0.4866666666666667,0.3201754385964912,4.85812865497076
random_forest,behavior_core,6,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_487_to_543,0.6799455000000307,0.2797337098077686,0.8760454561202923,0.08362987882250887,0.05939287285525737,0.1,228,61,0.45185185185185184,0.2675438596491228,4.50464587394412
random_forest,behavior_core,7,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_to_487,0.5412362000060966,0.37550438572408557,0.8769285042333019,0.09480169206811376,0.06590509666080843,0.1,228,73,0.4866666666666667,0.3201754385964912,4.85812865497076
random_forest,behavior_core,7,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_487_to_543,0.6774300999968546,0.2909500065347092,0.8790596958043169,0.09609347705715357,0.05939287285525737,0.1,228,63,0.4666666666666667,0.27631578947368424,4.65233918128655
random_forest,behavior_core,8,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_to_487,0.5930250999954296,0.3491723498041329,0.8731279397930386,0.0650151467791989,0.06590509666080843,0.1,228,75,0.5,0.32894736842105265,4.991228070175439
random_forest,behavior_core,8,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_487_to_543,0.7222592000034638,0.2773096290648985,0.8742992758895473,0.06548827373454034,0.05939287285525737,0.1,228,62,0.45925925925925926,0.2719298245614035,4.578492527615334
random_forest,behavior_core,9,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_to_487,0.5657934000046225,0.3760680162623804,0.8767544684854187,0.0932755165970102,0.06590509666080843,0.1,228,74,0.49333333333333335,0.32456140350877194,4.9246783625731
random_forest,behavior_core,9,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_487_to_543,0.6989870999968844,0.2907465575905098,0.879631361951287,0.08928008504030938,0.05939287285525737,0.1,228,61,0.45185185185185184,0.2675438596491228,4.50464587394412
random_forest,behavior_core,10,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_to_487,0.6353591000079177,0.36147137510342486,0.8732110379429289,0.06112894970612183,0.06590509666080843,0.1,228,77,0.5133333333333333,0.33771929824561403,5.1243274853801175
random_forest,behavior_core,10,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_487_to_543,0.838044500007527,0.2903035758444979,0.8752104770813844,0.059497521389208496,0.05939287285525737,0.1,228,60,0.4444444444444444,0.2631578947368421,4.430799220272904
random_forest,behavior_core,11,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_to_487,0.6718465000012657,0.3760884334477224,0.8770994042019441,0.09325513058960343,0.06590509666080843,0.1,228,74,0.49333333333333335,0.32456140350877194,4.9246783625731
random_forest,behavior_core,11,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_487_to_543,0.8235295000049518,0.2901931650370766,0.8784984235872916,0.08913744023697952,0.05939287285525737,0.1,228,64,0.4740740740740741,0.2807017543859649,4.726185834957764
